Temporada;Jugador_CodigoFBRef;Jugador;Equipo_CodigoFBRef;Pais_Codigo;Delantero;Fecha;Dia;Ronda;Sedes;Resultado;Equipo;Adversario;Arranque_Partido_Capitan;Posicion_Jugador;Monitos_Jugados;Rendimiento_GolesMarcados;Rendimiento_Asistencias;Rendimiento_TirosPenalesEjecutados;Rendimiento_TirosPenalesIntentados;Rendimiento_TotalDisparos;Rendimiento_LanzamientoEnObjetivo;Rendimiento_TarjetasAmarillas;Rendimiento_TarjetasRojas;Rendimiento_Toques;Rendimiento_Derribos;Rendimiento_Intercepciones;Rendimiento_Bloqueos;Expectativa_GolesEsperados;Expectativa_GolesEsperadosSinPenaltis;Expectativa_GolesEsperadosConAsistencia;AccionesParaCreacionDeTiros;AccionesParaCreacionDeGoles;PasesCompletados;PasesIntentados;PorcentajeCumplimientoDePases;PasesProgresivos;TransporteVecesControlaBalon;TransporteAcarreosProgresivos;TomasIntentadasEnfrentadoDefensor;TomasExitosasEnfrentando
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-09-27;Lun;Semana 7 de partido;Visitante;D 0–1;Granada;Celta Vigo;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-12-03;Vie;Semana 16 de partido;Local;V 2–1;Granada;Alavés;Sí;CB;90;0;0;0;0;1;0;1;0;28;2;0;0;0.1;0.1;0.0;1;1;17;21;81.0;1;10;1;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-10-24;Dom;Semana 10 de partido;Local;V 5–3;Sevilla;Levante;No;LB;13;0;0;0;0;0;0;0;0;9;0;0;0;0.0;0.0;0.0;1;0;7;9;77.8;1;5;0;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-10-27;Mié;Semana 11 de partido;Visitante;E 1–1;Sevilla;Mallorca;Sí;LB;45;0;0;0;0;0;0;1;0;44;0;0;0;0.0;0.0;0.0;2;0;34;42;81.0;4;26;1;1;1
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-10-30;Sáb;Semana 12 de partido;Local;V 2–0;Sevilla;Osasuna;Sí;LB;90;0;0;0;0;1;0;0;0;90;0;1;1;0.0;0.0;0.2;2;0;61;79;77.2;3;45;2;4;1
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-11-07;Dom;Semana 13 de partido;Visitante;V 2–0;Sevilla;Betis;Sí;LB;86;1;0;0;0;2;2;0;0;116;2;0;1;0.1;0.1;0.1;5;0;87;112;77.7;5;41;2;1;1
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-11-20;Sáb;Semana 14 de partido;Local;E 2–2;Sevilla;Alavés;No;LM;37;0;0;0;0;1;0;0;0;29;2;0;0;0.0;0.0;0.0;2;0;20;27;74.1;2;18;2;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-11-28;Dom;Semana 15 de partido;Visitante;D 1–2;Sevilla;Real Madrid;Sí;LB;90;0;1;0;0;0;0;1;0;67;2;0;1;0.0;0.0;0.2;2;1;46;60;76.7;2;33;3;2;2
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-11-01;Lun;Semana 12 de partido;Visitante;V 3–0;Granada;Levante;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-11-06;Sáb;Semana 13 de partido;Visitante;D 0–2;Granada;Espanyol;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-12-04;Sáb;Semana 16 de partido;Local;V 1–0;Sevilla;Villarreal;Sí;LB;62;0;1;0;0;0;0;0;0;37;1;0;0;0.0;0.0;0.1;1;1;21;32;65.6;0;10;1;1;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-12-18;Sáb;Semana 18 de partido;Local;V 2–1;Sevilla;Atlético Madrid;No;LB;31;0;0;0;0;0;0;0;0;14;1;0;0;0.0;0.0;0.0;0;0;7;11;63.6;0;9;0;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-01-03;Lun;Semana 19 de partido;Visitante;V 1–0;Sevilla;Cádiz;Sí;RB,CB;90;0;0;0;0;1;0;0;0;115;2;2;0;0.1;0.1;0.1;4;0;90;108;83.3;9;72;3;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-01-09;Dom;Semana 20 de partido;Local;V 1–0;Sevilla;Getafe;Sí;LB;90;0;0;0;0;0;0;0;0;98;4;0;0;0.0;0.0;0.0;2;0;73;88;83.0;7;60;5;4;4
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-01-19;Mié;Semana 21 de partido;Visitante;E 1–1;Sevilla;Valencia;Sí;LB;45;0;0;0;0;0;0;1;0;50;1;0;0;0.0;0.0;0.1;2;0;31;44;70.5;1;38;3;5;3
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-01-22;Sáb;Semana 22 de partido;Local;E 2–2;Sevilla;Celta Vigo;Sí;LB;90;0;0;0;0;2;0;0;0;92;2;0;2;0.3;0.3;0.1;3;0;65;81;80.2;5;43;5;3;2
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-02-05;Sáb;Semana 23 de partido;Visitante;E 0–0;Sevilla;Osasuna;Sí;LB,LM;90;0;0;0;0;0;0;0;0;96;2;1;0;0.0;0.0;0.0;2;0;74;92;80.4;5;54;2;3;3
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-11-21;Dom;Semana 14 de partido;Local;D 1–4;Granada;Real Madrid;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-12-13;Lun;Semana 17 de partido;Visitante;E 1–1;Granada;Cádiz;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-02-11;Vie;Semana 24 de partido;Local;V 2–0;Sevilla;Elche;Sí;LB;90;0;0;0;0;1;0;1;0;85;6;0;0;0.0;0.0;0.1;2;0;58;75;77.3;4;36;1;3;3
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-02-27;Dom;Semana 26 de partido;Local;V 2–1;Sevilla;Betis;Sí;LB;80;0;0;0;0;1;0;1;0;47;3;0;1;0.0;0.0;0.1;2;0;28;38;73.7;2;25;4;4;3
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-03-04;Vie;Semana 27 de partido;Visitante;E 0–0;Sevilla;Alavés;Sí;LB;82;0;0;0;0;0;0;0;0;76;1;1;2;0.0;0.0;0.2;5;0;47;61;77.0;2;38;1;5;3
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-03-13;Dom;Semana 28 de partido;Visitante;E 1–1;Sevilla;Rayo Vallecano;No;LB;13;0;0;0;0;0;0;0;0;8;0;0;1;0.0;0.0;0.0;0;0;4;7;57.1;1;2;1;1;1
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-04-17;Dom;Semana 32 de partido;Local;D 2–3;Sevilla;Real Madrid;Sí;LB;61;0;0;0;0;0;0;0;0;58;1;1;0;0.0;0.0;0.0;1;0;46;53;86.8;1;33;0;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-04-21;Jue;Semana 33 de partido;Visitante;V 3–2;Sevilla;Levante;Sí;LB;84;0;0;0;0;0;0;1;0;80;1;0;2;0.0;0.0;0.1;2;0;58;70;82.9;7;38;1;1;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-04-29;Vie;Semana 34 de partido;Local;E 1–1;Sevilla;Cádiz;Sí;LB,CB;90;0;0;0;0;0;0;0;0;94;0;0;0;0.0;0.0;0.0;0;0;73;85;85.9;5;56;2;3;2
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-12-19;Dom;Semana 18 de partido;Local;V 4–1;Granada;Mallorca;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2021-12-22;Mié;Semana 9 de partido;Local;V 2–1;Granada;Atlético Madrid;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-08-15;Dom;Semana 1 de partido;Local;V 3–0;Sevilla;Rayo Vallecano;Sí;WB,LB;90;0;0;0;0;2;1;0;0;103;2;0;0;0.5;0.5;0.2;7;0;84;93;90.3;3;78;1;0;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-08-23;Lun;Semana 2 de partido;Visitante;V 1–0;Sevilla;Getafe;Sí;LB;73;0;0;0;0;0;0;0;0;60;1;1;2;0.0;0.0;0.1;2;0;41;52;78.8;3;43;3;1;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-08-28;Sáb;Semana 3 de partido;Visitante;E 1–1;Sevilla;Elche;Sí;LB;90;0;1;0;0;1;1;0;0;122;2;1;1;0.0;0.0;0.6;6;1;91;115;79.1;17;91;4;3;2
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-09-19;Dom;Semana 5 de partido;Visitante;E 0–0;Sevilla;Real Sociedad;Sí;LB;90;0;0;0;0;0;0;0;0;58;1;1;2;0.0;0.0;0.1;3;0;34;47;72.3;4;23;1;2;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-09-25;Sáb;Semana 7 de partido;Local;V 2–0;Sevilla;Espanyol;Sí;LB,LM;90;0;0;0;0;0;0;0;0;75;3;0;2;0.0;0.0;0.3;5;0;55;67;82.1;6;51;4;4;4
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-10-03;Dom;Semana 8 de partido;Visitante;D 0–1;Sevilla;Granada;Sí;LB;90;0;0;0;0;0;0;1;0;88;2;1;0;0.0;0.0;0.0;3;0;60;81;74.1;8;50;1;3;2
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2021-10-17;Dom;Semana 9 de partido;Visitante;V 1–0;Sevilla;Celta Vigo;No;LW;18;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;1;0;6;10;60.0;0;3;0;0;0
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2022-01-02;Dom;Semana 19 de partido;Visitante;E 0–0;Granada;Elche;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;1f462f95;Luis Abram;a0435291;PER;NO;2022-01-08;Sáb;Semana 20 de partido;Local;E 1–1;Granada;Barcelona;No;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.;Estuvo en el día del partido, pero no jugó.
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-05-08;Dom;Semana 35 de partido;Visitante;E 1–1;Sevilla;Villarreal;Sí;LB,LM;90;0;0;0;0;0;0;0;0;53;2;1;1;0.0;0.0;0.0;2;0;28;45;62.2;3;29;3;2;0
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-05-11;Mié;Semana 36 de partido;Local;E 0–0;Sevilla;Mallorca;Sí;LB;90;0;0;0;0;2;0;1;0;123;1;0;0;0.0;0.0;0.2;2;0;92;118;78.0;13;83;11;3;2
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-05-15;Dom;Semana 37 de partido;Visitante;E 1–1;Sevilla;Atlético Madrid;Sí;LB,LM;90;0;0;0;0;1;1;1;0;91;3;3;0;0.0;0.0;0.0;1;0;61;81;75.3;6;58;5;4;4
2021-2022;81442ecb;Marcos Acuña;ad2be733;ARG;NO;2022-05-22;Dom;Semana 38 de partido;Local;V 1–0;Sevilla;Athletic Club;Sí;LB;90;0;0;0;0;1;0;1;0;95;2;0;3;0.0;0.0;0.0;3;0;61;80;76.3;2;65;1;3;1
